brain,checkpoint,mode,cue,mean_lifetime,mean_active_fraction,mean_concentration,P_peak_activity,P_cumulative_activity,P_mean_activity,P_peak_step,P_final_activity,trial_similarity,mean_total_activity,recall_to_P_cue_similarity,destination_experience_similarity,settled_experience_similarity,A_vs_F_pattern_similarity,convergence_gain_vs_disconnected,P_peak_gain_vs_disconnected,P_cumulative_gain_vs_disconnected,P_final_gain_vs_disconnected
1,100,untrained,F,120.0,0.48583333333333334,0.01025055493963963,0.40104352249740005,17.363795912246285,0.14469829926871905,120.0,0.40104352249740005,1.0,29.804790403366937,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,100,untrained,P,120.0,0.27749999999999997,0.017557565227228924,0.5306626417824976,12.639694028336965,0.10533078356947471,5.0,0.31738523665502616,0.9999999999999998,15.586024379617362,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,100,disconnected,A,120.0,0.31666666666666665,0.015984689102921244,0.4190240481631465,16.305151781765197,0.1358762648480433,21.0,0.417388316335103,1.0000000000000002,20.231105465242912,0.0,0.0,0.0,0.4186117479225136,0.0,0.0,0.0,0.0
1,100,disconnected,F,120.0,0.7575,0.0061264328819132085,0.40619798329284434,20.66559239809368,0.172213269984114,110.0,0.19389036922823272,1.0,45.7360349826159,0.0,0.0,0.0,0.4186117479225136,0.0,0.0,0.0,0.0
1,100,disconnected,P,120.0,0.7008333333333333,0.006625063352225765,0.5230460480555392,19.436949177578377,0.1619745764798198,5.0,0.038900174838373464,1.0,45.087099158862685,0.0,0.0,0.0,0.4186117479225136,0.0,0.0,0.0,0.0
1,100,shared,A,120.0,0.5050000000000001,0.00969519920692592,0.4835485851805658,19.12633194100025,0.1593860995083354,29.0,0.0,1.0,34.131199490695366,0.3594972218579027,0.430950512242348,0.5074260739665745,0.38912975595126137,-0.02948199197125223,0.06452453701741934,2.821180159235052,-0.417388316335103
1,100,shared,F,120.0,0.5783333333333334,0.008522755424583034,0.471543721957176,18.026131065698976,0.1502177588808248,44.0,0.32401507490764614,1.0,37.802099641881256,0.47115406462501,0.3134091278296615,0.6283958523983373,0.38912975595126137,-0.02948199197125223,0.06534573866433163,-2.6394613323947027,0.13012470567941342
1,100,shared,P,120.0,0.7016666666666667,0.0068596826421431275,0.6189702237570522,21.54408155008163,0.1795340129173469,4.0,0.15751836349846682,0.9999999999999998,48.54716327356037,0.9999999999999998,0.6542061356307852,0.8160223991736695,0.38912975595126137,-0.02948199197125223,0.09592417570151301,2.1071323725032514,0.11861818866009335
1,200,untrained,A,120.0,0.4841666666666667,0.010359005604719787,0.41679144437282967,13.560983292503916,0.11300819410419931,93.0,0.0,1.0,30.26441068156754,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,200,untrained,F,120.0,0.48583333333333334,0.01025055493963963,0.40104352249740005,17.363795912246285,0.14469829926871905,120.0,0.40104352249740005,1.0,29.804790403366937,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,200,untrained,P,120.0,0.27749999999999997,0.017557565227228924,0.5306626417824976,12.639694028336965,0.10533078356947471,5.0,0.31738523665502616,0.9999999999999998,15.586024379617362,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,200,disconnected,A,120.0,0.13833333333333334,0.03835708632963448,0.45838357516870676,18.826291165473336,0.1568857597122778,18.0,0.09203304730885487,1.0000000000000002,6.99774823581603,0.0,0.0,0.0,0.22038666932858367,0.0,0.0,0.0,0.0
1,200,disconnected,F,120.0,0.6916666666666667,0.00683803188581736,0.42546386973088934,17.718121574393418,0.14765101311994516,29.0,0.2161020674850745,1.0,44.33705721084685,0.0,0.0,0.0,0.22038666932858367,0.0,0.0,0.0,0.0
1,200,disconnected,P,120.0,0.6749999999999999,0.007030825129299931,0.5020431542016363,25.68840109448866,0.21407000912073887,5.0,0.0,1.0,45.557667929361955,0.0,0.0,0.0,0.22038666932858367,0.0,0.0,0.0,0.0
1,200,shared,A,120.0,0.5800000000000001,0.008299583212307705,0.4796892005976717,8.81138520412868,0.07342821003440567,46.0,0.0,1.0,34.84245665179266,0.4354142797950224,0.4739633134874938,0.7021321742055081,0.608984946415266,0.3885982770866824,0.02130562542896497,-10.014905961344656,-0.09203304730885487
1,200,shared,F,120.0,0.43916666666666665,0.010797062416592985,0.4812064573296679,8.052555610148598,0.06710463008457165,72.0,0.0,1.0,33.73784256011048,0.18035367600490823,0.36973602006422096,0.5200247773642983,0.608984946415266,0.3885982770866824,0.05574258759877854,-9.66556596424482,-0.2161020674850745
1,200,shared,P,120.0,0.5266666666666667,0.008553380282236135,0.630029992778082,12.207643027505206,0.10173035856254338,3.0,0.2898266089810307,0.9999999999999998,35.80398143474089,0.9999999999999999,0.6383398126147958,0.7141825131472616,0.608984946415266,0.3885982770866824,0.12798683857644577,-13.480758066983455,0.2898266089810307
1,300,untrained,A,120.0,0.4841666666666667,0.010359005604719787,0.41679144437282967,13.560983292503916,0.11300819410419931,93.0,0.0,1.0,30.26441068156754,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,300,untrained,F,120.0,0.48583333333333334,0.01025055493963963,0.40104352249740005,17.363795912246285,0.14469829926871905,120.0,0.40104352249740005,1.0,29.804790403366937,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,300,untrained,P,120.0,0.27749999999999997,0.017557565227228924,0.5306626417824976,12.639694028336965,0.10533078356947471,5.0,0.31738523665502616,0.9999999999999998,15.586024379617362,0.0,0.0,0.0,0.34210423552307684,0.0,0.0,0.0,0.0
1,300,disconnected,A,120.0,0.23000000000000004,0.021323599694455218,0.4840525148673146,16.881131509959864,0.1406760959163322,17.0,0.04318689525020454,1.0000000000000002,13.467724436993832,0.0,0.0,0.0,0.2757329767731901,0.0,0.0,0.0,0.0
