source,target,before,after,delta
18,13,0.42776951800154195,0.4277695181195872,1.18045240249387e-10
18,23,0.44172840718736717,0.44172840719869044,1.1323275650454434e-11
18,26,0.4136571442430084,0.41365714465749326,4.1448483534267666e-10
18,31,0.42193817872930967,0.4219381788369844,1.0767475799866588e-10
18,39,0.4279729412443612,0.4279729417575629,5.132017033560032e-10
18,52,0.42229028800635826,0.4222902884440153,4.376570217345943e-10
19,6,0.44102068788798104,0.44102068788798354,2.4980018054066022e-15
19,11,0.4066077206594834,0.4066077206594943,1.0880185641326534e-14
19,14,0.4014336730069884,0.401433673006996,7.605027718682322e-15
19,24,0.4215426866724125,0.42154268667244704,3.452793606584237e-14
19,27,0.41077348857396584,0.41077348857397344,7.605027718682322e-15
19,32,0.4353602896953155,0.4353602896953243,8.826273045769994e-15
19,40,0.43771025720423,0.4377102572042359,5.88418203051333e-15
19,45,0.4083381589591555,0.40833815895917147,1.5987211554602254e-14
19,53,0.4126221556715405,0.412622155671541,4.996003610813204e-16
20,7,0.44771855214733053,0.447718552147748,4.1744385725905886e-13
20,12,0.422667246914362,0.4226672469220654,7.703393478664111e-12
20,15,0.434073230536439,0.4340732305368694,4.304334666471732e-13
20,25,0.43573361700479796,0.435733617120463,1.1566503310689313e-10
20,28,0.41528391369765616,0.4152839136989045,1.248334768888526e-12
20,33,0.4142104493663745,0.41421044941400786,4.7633341715425104e-11
20,41,0.4160601584325426,0.4160601584352597,2.7170488081651456e-12
20,46,0.4342062143063224,0.4342062145540932,2.477708038739479e-10
20,54,0.4219541268328712,0.42195412687715095,4.4279746536091125e-11
21,8,0.41051094120730286,0.4105109416875658,4.802629405276093e-10
21,13,0.42749329746284886,0.4274932992137413,1.7508924310405405e-09
21,16,0.41811215739890867,0.4181121578899834,4.910747364306189e-10
21,26,0.41650305994390524,0.41650306776581847,7.821913228234223e-09
21,29,0.4259385085034955,0.4259385113073565,2.8038609767300215e-09
21,34,0.42224510607886506,0.42224512266420827,1.6585343209918335e-08
21,42,0.42601788112331707,0.4260178949089403,1.3785623254047863e-08
21,47,0.4161945255192274,0.4161945597167386,3.419751115618652e-08
21,55,0.436183841734788,0.4361838859029384,4.416815035934718e-08
22,9,0.42078337321523024,0.4207833732287423,1.351208034350293e-11
22,14,0.40929969425947405,0.4092996942604994,1.0253464743925633e-12
22,17,0.4037643972711307,0.4037643974015602,1.3042950053332447e-10
22,27,0.3885921852340042,0.38859218523501665,1.0124678873069115e-12
22,30,0.4164765733804876,0.41647657360175144,2.2126384058296367e-10
22,35,0.39474254537755177,0.39474254540839054,3.0838775977315436e-11
22,43,0.4356134972840104,0.43561349759793,3.139196125268029e-10
22,48,0.41281884999498075,0.41281885001114926,1.6168510974523542e-11
22,56,0.4098847645747959,0.4098847648125991,2.3780322155886324e-10
23,10,0.41711150975632355,0.41711150975731137,9.87820936160233e-13
23,15,0.42146364730575575,0.42146364730589475,1.389999226830696e-13
23,18,0.4408577530833074,0.4408577530880674,4.7600257069291274e-12
23,28,0.431277393156393,0.43127739315671093,3.179123631014136e-13
23,31,0.4242561785902934,0.424256178595066,4.772571227107392e-12
23,36,0.41976906882471526,0.41976906882529114,5.758726828730687e-13
23,44,0.43041927298431015,0.4304192729886025,4.29234425780578e-12
23,49,0.42589078416865334,0.42589078416879866,1.45328193923433e-13
23,57,0.41340432736799376,0.4134043273694555,1.4617196342214811e-12
24,11,0.4074328364745798,0.4074328364749922,4.123923424970144e-13
24,16,0.44595289758014295,0.4459528975849329,4.789946217442775e-12
24,19,0.4289375154833739,0.4289375154834454,7.149836278586008e-14
24,29,0.41097338330282585,0.410973383318743,1.5917156481748407e-11
24,32,0.41366919635366695,0.4136691963539774,3.1047386883642503e-13
24,37,0.4234729282430774,0.4234729282496595,6.582068223792703e-12
24,45,0.419677456019218,0.41967745601973516,5.171418848703979e-13
24,58,0.4081426969286523,0.40814269693211597,3.4636737922255634e-12
25,12,0.4139720222027674,0.4139720223909515,1.8818407943044235e-10
25,17,0.42102599158699977,0.4210259943495249,2.7625251530771777e-09
25,20,0.4098068880288219,0.40980688836943796,3.406160353769394e-10
25,30,0.4002155777611657,0.40021558253836803,4.777202355921162e-09
25,33,0.4143598594380973,0.4143598607923534,1.3542560961532502e-09
25,38,0.40169794017904814,0.40169795226439275,1.2085344613943505e-08
25,46,0.4306733945207478,0.4306734027535713,8.232823478504514e-09
25,59,0.41404839212952915,0.41404842452150514,3.2391975990364585e-08
26,5,0.428273430431843,0.428273430829982,3.9813896623996925e-10
26,13,0.40913082996544503,0.40913083165379266,1.6883476283702237e-09
26,18,0.41773126400923427,0.41773126510441816,1.095183888022433e-09
26,21,0.4166879405101437,0.41668794841713497,7.906991283945786e-09
26,31,0.415754546601523,0.4157545476909403,1.0894172786102274e-09
26,34,0.42607196763493704,0.4260719837250778,1.6090140775304462e-08
26,39,0.45687898277033795,0.4568789923165071,9.546169132956805e-09
26,47,0.3988298707117323,0.3988299039176596,3.3205927285617776e-08
26,60,0.4228472438647584,0.4228472835805332,3.9715774780013646e-08
27,6,0.43322390713435094,0.43322390713435094,0.0
27,14,0.4347602463288759,0.4347602463288759,0.0
27,19,0.4225857502158807,0.4225857502158807,0.0
27,22,0.44407954169689007,0.4440795416969313,4.1244785364824565e-14
27,32,0.4117008485474777,0.4117008485474777,0.0
27,35,0.40119228309921395,0.4011922830992558,4.18554080283684e-14
27,40,0.4144368963437378,0.4144368963437378,0.0
27,48,0.42996303209045594,0.4299630320904776,2.1649348980190553e-14
27,61,0.43378363962458394,0.43378363962459215,8.215650382226158e-15
28,7,0.41192041463708623,0.4119204146371122,2.5979218776228663e-14
28,15,0.41423216015782316,0.4142321601578508,2.7644553313166398e-14
28,20,0.4156432827162643,0.41564328271716566,9.013900736931646e-13
28,23,0.4205471361645436,0.4205471361646265,8.293365993949919e-14
28,33,0.41716828140889595,0.417168281412161,3.265054893120123e-12
28,36,0.43350782427752976,0.4335078242775876,5.784261958297066e-14
28,41,0.41841849612993676,0.4184184961301084,1.716404796070492e-13
28,49,0.42968496013450597,0.4296849601345232,1.7208456881689926e-14
28,62,0.4153917134868221,0.41539171348695003,1.279532035880493e-13
29,8,0.42826664211492044,0.4282666422545237,1.3960327338580214e-10
29,16,0.42003969154229875,0.42003969168940974,1.4711099005637607e-10
29,21,0.4311065144663047,0.431106516283341,1.817036299200936e-09
29,24,0.4361705589078769,0.4361705589455979,3.772099299581555e-11
29,34,0.42646789209018915,0.42646789513438477,3.0441956178073326e-09
29,37,0.4399453919268089,0.43994539213811196,2.1130303062832922e-10
29,42,0.41598832238168554,0.41598832538531477,3.0036292342217052e-09
29,50,0.4224482439561087,0.4224482446869666,7.308579297315987e-10
