brain,checkpoint,mode,cue,P_peak_activity,P_cumulative_activity,P_final_activity,trial_similarity,experience_similarity,P_peak_gain_vs_local,P_cumulative_gain_vs_local
1,300,local,P,0.6474554554512778,5.156479440750669,0.0,1.0,0.0,0.0,0.0
1,300,field,A,0.0,0.0,0.0,1.0,0.6099498722001079,-0.0190233527538247,-0.21145218092946597
1,300,field,F,0.0,0.0,0.0,1.0,0.777179454314552,0.0,0.0
1,300,field,P,0.703826754922814,28.22155085628925,0.3333248675906148,1.0000000000000002,0.0,0.056371299471536185,23.065071415538583
1,400,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,400,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,400,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,400,local,A,0.0,0.0,0.0,0.9999999999999998,0.5708437777279592,0.0,0.0
1,400,local,F,0.0,0.0,0.0,1.0,0.2538574587163104,0.0,0.0
1,400,local,P,0.6563237063889977,5.056622146130672,0.0,1.0,0.0,0.0,0.0
1,400,field,A,0.0,0.0,0.0,1.0,0.5922756486784971,0.0,0.0
1,400,field,F,0.0,0.0,0.0,1.0000000000000002,0.7480985000718071,0.0,0.0
1,400,field,P,0.7128372467129146,22.35521105693206,0.33655671134615733,1.0,0.0,0.05651354032391687,17.29858891080139
1,500,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,500,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,500,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,500,local,A,0.0,0.0,0.0,1.0,0.483646450544754,0.0,0.0
1,500,local,F,0.0,0.0,0.0,1.0000000000000002,0.5571030778931312,0.0,0.0
1,500,local,P,0.6623646805709982,5.022687197592337,0.0,1.0000000000000002,0.0,0.0,0.0
1,500,field,A,0.0,0.0,0.0,1.0,0.5652983200490225,0.0,0.0
1,500,field,F,0.0,0.0,0.0,1.0000000000000002,0.7335417261299797,0.0,0.0
1,500,field,P,0.7142724335475974,22.86778950765333,0.33871363911038765,1.0,0.0,0.05190775297659922,17.845102310060994
