brain,checkpoint,mode,cue,P_peak_activity,P_cumulative_activity,P_final_activity,trial_similarity,experience_similarity,P_peak_gain_vs_local,P_cumulative_gain_vs_local
1,300,local,P,0.6474554554512778,5.156479440750669,0.0,1.0,0.0,0.0,0.0
1,300,field,A,0.0,0.0,0.0,1.0000000000000002,0.8308013380609158,-0.0190233527538247,-0.21145218092946597
1,300,field,F,0.0,0.0,0.0,1.0,0.8677434173871658,0.0,0.0
1,300,field,P,0.7892841631459968,30.73967401559056,0.4089691470392335,1.0,0.0,0.141828707694719,25.58319457483989
1,400,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,400,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,400,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,400,local,A,0.0,0.0,0.0,0.9999999999999998,0.5708437777279592,0.0,0.0
1,400,local,F,0.0,0.0,0.0,1.0,0.2538574587163104,0.0,0.0
1,400,local,P,0.6563237063889977,5.056622146130672,0.0,1.0,0.0,0.0,0.0
1,400,field,A,0.0,0.0,0.0,1.0,0.8221356745064262,0.0,0.0
1,400,field,F,0.0,0.0,0.0,1.0,0.861258365795165,0.0,0.0
1,400,field,P,0.7958268799718713,33.01769428091655,0.41059663437543376,1.0,0.0,0.13950317358287356,27.96107213478588
1,500,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,500,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,500,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,500,local,A,0.0,0.0,0.0,1.0,0.483646450544754,0.0,0.0
1,500,local,F,0.0,0.0,0.0,1.0000000000000002,0.5571030778931312,0.0,0.0
1,500,local,P,0.6623646805709982,5.022687197592337,0.0,1.0000000000000002,0.0,0.0,0.0
1,500,field,A,0.0,0.0,0.0,1.0000000000000002,0.8124420194629722,0.0,0.0
1,500,field,F,0.0,0.0,0.0,1.0,0.8562257353006751,0.0,0.0
1,500,field,P,0.7976680237719428,34.46362622067115,0.41246314156897934,1.0,0.0,0.13530334320094461,29.440939023078815
