repetition,steps,local_edges,reflection_edges,reflection_change,intervals,corridor_mass
285,7,850,1972,0.039218258931897565,1,29.71659204665758
286,7,828,1972,0.039369459704610865,1,29.846846247954325
287,9,832,1972,0.06927480560880955,3,257.5424702646052
288,8,839,1972,0.02540389400006382,1,19.9882455390638
289,10,825,1972,0.06471680445645728,3,246.0417961362533
290,9,841,1972,0.0708418785884769,3,262.1215709386061
291,8,824,1972,0.025362727469048663,1,20.032247786354944
292,7,837,1972,0.03839179818020566,1,28.998625193026072
293,6,813,1972,0.054672254815263666,1,40.92558254186183
294,8,810,1972,0.025619438548827367,1,19.795736982144422
295,7,847,1972,0.03933930565620514,1,30.026196510597465
296,9,835,1972,0.0673632895719457,3,251.94626682562148
297,9,855,1972,0.06826961806544479,3,254.60515681281635
298,7,840,1972,0.03907864142718026,1,31.44011811453949
299,9,842,1972,0.06776072748627776,3,253.11443621129376
300,7,819,1972,0.03915354678324218,1,30.54027121633331
301,9,858,1972,0.06788181501050172,3,253.47056653933694
302,7,839,1972,0.03908817984559504,1,30.91918709620969
303,6,827,1972,0.056953678382166584,1,44.05627660947567
304,8,814,1972,0.02512876767947908,1,20.3738760610811
305,10,839,1972,0.06994314108893068,3,261.20823827245425
306,10,840,1972,0.06659806198527174,3,251.51121381898392
307,6,835,1972,0.055873321320410396,1,41.835211883019774
308,10,833,1972,0.06731694786927611,3,253.59757363448176
309,9,839,1972,0.06754906982651332,3,252.49888715017283
310,7,846,1972,0.039292304036992076,1,29.780301133786136
311,8,828,1972,0.02514644841394359,1,20.343327252374372
312,6,836,1972,0.056679815251452825,1,43.41938921968941
313,10,858,1972,0.06708440227730811,3,252.92496638667802
314,7,849,1972,0.039136402624154965,1,30.612471941061592
315,10,843,1972,0.06768312041636759,3,254.6621913031819
316,6,845,1972,0.05651023224595675,1,42.95937589140016
317,7,843,1972,0.03907280186640588,1,31.3062309137714
318,7,869,1972,0.037629089334142496,1,28.326664259415992
319,6,842,1972,0.056871737424325275,1,43.89069528393258
320,9,812,1972,0.06759177406622296,3,252.63011693145177
321,10,845,1972,0.06771736921898763,3,254.7638441195163
322,8,843,1972,0.025001390283669933,1,20.735438299259272
323,10,834,1972,0.06757674079235321,3,254.3568391850089
324,8,834,1972,0.02496468569305471,1,21.002878486017003
325,9,843,1972,0.06731977024677055,3,251.83467291470134
326,8,832,1972,0.025317242907163195,1,20.101523854271313
327,9,843,1972,0.06904617888273917,3,256.8949861528111
328,10,849,1972,0.06681152205424767,3,252.13945216158945
329,9,851,1972,0.0686793416991125,3,255.82308085859438
330,6,852,1972,0.055422157897554725,1,41.4876884386141
331,9,847,1972,0.06889191501398995,3,256.44666601745126
332,8,837,1972,0.025232876759211542,1,20.21330053107757
333,8,843,1972,0.025373369430674697,1,20.037529336551707
334,10,833,1972,0.06780175687809809,3,255.01419272882805
335,6,836,1972,0.0562943204988004,1,42.25758568790713
336,6,844,1972,0.05488226250858175,1,41.074841371913
337,6,838,1972,0.05387916340708088,1,40.30261010507854
338,6,858,1972,0.056711223034162594,1,43.528681195966996
339,6,856,1972,0.056465863092552915,1,42.85776548716891
340,10,850,1972,0.06825746309203146,3,256.33793987793507
341,10,852,1972,0.06721576051288236,3,253.3180117246378
342,10,837,1972,0.06686511112751281,3,252.3014157600592
343,9,830,1972,0.06837478794043284,3,254.9400901337994
344,7,830,1972,0.03920480700324375,1,30.353887122021682
345,8,818,1972,0.024969940556543613,1,21.23488637930535
346,9,840,1972,0.06794597071105563,3,253.68483339926001
347,7,842,1972,0.039196298240784355,1,30.38156111671225
348,7,836,1972,0.03909853354062842,1,30.819008004677688
349,6,851,1972,0.05606550766860413,1,41.96870953532034
350,8,845,1972,0.025559452416720974,1,19.867317119385255
351,6,830,1972,0.056230212595924034,1,42.091883501275404
352,6,824,1972,0.05444004999719604,1,40.731654442410516
353,10,841,1972,0.06646841541545734,3,251.15413240486473
354,8,855,1972,0.025143621174190334,1,20.37906673575214
355,9,857,1972,0.06813249515728093,3,254.23626430571653
356,9,855,1972,0.06798434629725064,3,253.80289511463891
357,6,851,1972,0.05590740274537398,1,41.84747586718952
358,6,846,1972,0.05650773180646301,1,43.00221701497274
359,9,852,1972,0.06907273629418681,3,256.99196778384083
360,9,839,1972,0.06958901942449819,3,258.50230643893553
361,9,857,1972,0.06828072853264938,3,254.6751911924058
362,10,828,1972,0.06679977053181274,3,252.12080763301842
363,9,830,1972,0.06780284935126685,3,253.27585719529415
364,7,840,1972,0.039176459498675764,1,30.44973008894024
365,10,851,1972,0.06767474274492458,3,254.6600320172443
366,9,843,1972,0.06944841362924609,3,258.09558070667117
367,6,856,1972,0.05636649274481059,1,42.56889868629575
368,7,852,1972,0.0392129970700808,1,30.332306418367217
369,6,848,1972,0.056596237252879544,1,43.25959903263593
370,7,844,1972,0.03924701233720895,1,29.739875498590763
371,7,853,1972,0.039243482739401536,1,30.250131012931504
372,7,855,1972,0.038938567059209006,1,29.472776765885563
373,9,849,1972,0.06870357961949763,3,255.9206364115949
374,10,823,1972,0.06650211862625843,3,251.2624087184249
375,8,841,1972,0.02502169973343954,1,20.715408608836796
376,8,841,1972,0.0250685562784278,1,20.563989805171673
377,6,854,1972,0.056133378455849814,1,42.01232747284952
378,9,847,1972,0.0691071699451723,3,257.1044695317139
379,8,826,1972,0.025199335772145504,1,20.297173388771316
380,7,830,1972,0.03932920031360765,1,30.05012846799704
381,10,836,1972,0.0681592452373101,3,256.07114663336444
382,6,839,1972,0.05419537805300928,1,40.535342236871685
383,6,863,1972,0.056817313841524275,1,43.82010795732495
384,7,824,1972,0.039408899836330336,1,29.878474437237486
385,7,840,1972,0.03927708436078897,1,30.17075082647944
386,9,844,1972,0.06937984667275426,3,257.9058074716496
387,9,851,1972,0.0689874260898321,3,256.7590396588539
388,10,823,1972,0.06628081674051456,3,250.62589711160533
389,6,846,1972,0.05565715931084625,1,41.650263084212824
390,9,849,1972,0.06913220667770437,3,257.1845617433499
