step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_fatigue
20,49.88842290830839,149,0.6208333333333333,0.007667782144445195,-0.04846357157019283,0.13719067936057475,0.22533434593494106,0.060946267850831945
21,49.710415820513575,152,0.6333333333333333,0.007530202894851106,-0.05273323411651832,0.13265647696212135,0.18395261129042917,0.06420572036105658
22,49.39697893499307,154,0.6416666666666667,0.007405669752972083,-0.055088427985859646,0.12649875482503378,0.14424775325910086,0.06710585129129722
23,48.95198888432179,157,0.6541666666666667,0.00731171326743096,-0.05602177119644374,0.119755705087877,0.10529462962451566,0.06965719971247869
24,48.33758659339131,158,0.6583333333333333,0.007272959823417595,-0.05666646993686656,0.1121548197080444,0.0652063655911492,0.07186997765704116
25,47.722033369904565,157,0.6541666666666667,0.007253047818326031,-0.05511008149027247,0.10369095087303654,0.027237046970161615,0.07374627737759791
26,47.06959910062565,157,0.6541666666666667,0.0072552396868679515,-0.05241439762874741,0.09420322576922209,-0.00922507925341607,0.07531953089669523
27,46.42624419976917,160,0.6666666666666666,0.007259938400633973,-0.048875546449025,0.08454982380638329,-0.04582180572250544,0.07661312763839302
28,45.86943163882616,160,0.6666666666666666,0.007248161445288642,-0.043882431951666245,0.07439648866483929,-0.08214346734148041,0.07765673566201044
29,45.370102872498734,161,0.6708333333333333,0.007243629003899381,-0.03897199686560907,0.06283281797101012,-0.11838932204144201,0.0784915805280893
30,44.9187308201374,159,0.6625,0.007269452988749404,-0.034857557466080706,0.04989497191304387,-0.154426574876711,0.07914931676387389
31,44.58546842295437,159,0.6625,0.007305086210547739,-0.03096925660694363,0.034707626846021696,-0.19006997074172235,0.07965664711626226
32,44.338707017366936,161,0.6708333333333333,0.007354173185777302,-0.026743526930623124,0.017778852876507056,-0.22565644186663292,0.08005075773393999
33,44.22380315410622,160,0.6666666666666666,0.007392438397393758,-0.02195159888078847,-0.0015643651706251753,-0.26075138992587266,0.08035918952630229
34,44.12739735952243,161,0.6708333333333333,0.0074485691701865675,-0.017088819044462147,-0.023141542398562556,-0.2951850134563437,0.08061523366506697
35,43.95288418366401,159,0.6625,0.007548054806185263,-0.011197812379073758,-0.04612617872090421,-0.3295484069971985,0.08082759730347074
36,43.69652767470059,154,0.6416666666666667,0.007676289392933763,-0.004396650552007829,-0.07045690669661107,-0.3636591944859237,0.08098600335756066
37,43.37562297202276,150,0.625,0.007811935012377596,0.003436744815647828,-0.0948083728148025,-0.39527116046772476,0.08108050196081096
38,42.98947933626164,149,0.6208333333333333,0.007931320495047432,0.010741082197373117,-0.11562065165428134,-0.42276752555779595,0.08110538107198413
39,42.38952010900849,147,0.6125,0.008067351276907199,0.017651033781011932,-0.1360894375909155,-0.44821068503197004,0.08105537034033478
40,41.6701817061313,146,0.6083333333333333,0.008190362534557235,0.022253800625428515,-0.1543092513236036,-0.47015320158098467,0.08089786832674038
41,40.69027192862967,139,0.5791666666666667,0.008372537891267582,0.026729605845178993,-0.17187157098022338,-0.4903309089595471,0.08062124056396597
42,39.50114049656306,133,0.5541666666666667,0.008614063350368134,0.031201825828849332,-0.18613040554106183,-0.5077004814832629,0.08018854249418744
43,38.20344603252994,131,0.5458333333333333,0.008849539043195988,0.03407019705353027,-0.1966583187659206,-0.5206265262000567,0.07957615208787429
44,36.75364015844657,127,0.5291666666666667,0.00908475129936137,0.037859635020510235,-0.2044980857124668,-0.53090656472223,0.0787816830101862
45,35.28052104157165,124,0.5166666666666667,0.009288163520198796,0.04404105858736143,-0.2103148045134339,-0.5392685815353742,0.07779482223887631
46,33.867979855111955,120,0.5,0.009454452294696276,0.05173542567316235,-0.21457936014375723,-0.5456989974276373,0.07663043771028338
47,32.684796023896524,119,0.49583333333333335,0.009524044243058097,0.058711902801897885,-0.21591340325641215,-0.5480857114547015,0.07531764016208853
