step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_excitation,mean_inhibition,mean_fatigue
27,46.497686094456384,159,0.6625,0.007249270249617837,0.007425061928997691,0.0025579140285000605,-0.007723979346133585,0.33547881106368316,0.09165878851896785,0.06841383744388754
28,46.34643311016422,158,0.6583333333333333,0.007261912993239043,0.0017054179658638948,-0.0126365553752351,-0.056552454976618365,0.33642121931287877,0.09171376328851319,0.07029076984220935
29,46.14466155643858,159,0.6625,0.007285008225962719,-0.004386671599941822,-0.028699552837763834,-0.10407939603501129,0.3357844375458842,0.09141718771923363,0.07195164906614421
30,45.815552117117306,159,0.6625,0.007328984434228632,-0.010443701163302482,-0.04473800715577121,-0.15105066138291534,0.3344807168897386,0.09099790781107905,0.07340860820136204
31,45.17830205425656,155,0.6458333333333334,0.00744954771285314,-0.01717984545911805,-0.05819860316488988,-0.19829889200903014,0.3323279975894292,0.09031184174854806,0.07465816340318532
32,44.38990173930026,153,0.6375,0.007599437103405854,-0.02477486495666417,-0.07136710893952634,-0.24313199897581295,0.3280412159140432,0.08901098796560361,0.07566327869803989
33,43.52910471149397,153,0.6375,0.00773743688276466,-0.032331444138341076,-0.08597568090735902,-0.28628099027478454,0.3224193069326592,0.08739876532713167,0.07642005740435472
34,42.540014918745214,148,0.6166666666666667,0.007888560675102341,-0.03868108017998672,-0.1003632191049982,-0.3282360849372366,0.3163519615875294,0.0856392416822466,0.07693975879732437
35,41.34290040494457,141,0.5875,0.008110982049172055,-0.045581512878981614,-0.11267600447903503,-0.3691801132139102,0.30952145781974433,0.08362248002498332,0.07722203571485665
36,40.124083067675365,137,0.5708333333333333,0.00834068654315185,-0.05177063794798076,-0.12398981107962631,-0.4062339803386881,0.30115945245294756,0.0811969362774725,0.0772516259692981
37,38.86000264472776,136,0.5666666666666667,0.008564119312954942,-0.05626412331702829,-0.1349977036168925,-0.4407859795838284,0.29240874387158394,0.07873469179660063,0.07704972894755742
