step,total_activity,active_count,active_fraction,pattern_concentration,center_x,center_y,center_z,mean_excitation,mean_inhibition,mean_fatigue
23,47.129841105479514,159,0.6625,0.0072250793505940734,0.0386561205056698,0.17173357460400823,0.05096752653082708,0.34680475935294264,0.09474483324160564,0.07142569836284053
24,46.03591119413067,158,0.6583333333333333,0.007242872470906737,0.027550303432559622,0.17079670565574598,0.008868366336869,0.34170014010146565,0.09277891440601237,0.0731199737338339
25,44.88157190865709,160,0.6666666666666666,0.007290478712847444,0.015622067814675077,0.1691888829473008,-0.03384312849119482,0.33557002556900173,0.09061196911527111,0.07443970970935002
26,43.709081350298824,157,0.6541666666666667,0.007365209402452808,0.0014283452361530966,0.165200793111117,-0.07518171671611866,0.3286174423285324,0.0883185432813903,0.07541103347128822
27,42.64272273597211,155,0.6458333333333334,0.007434967470014224,-0.012762295068154001,0.15926254308220691,-0.11221280177709067,0.3211159047325205,0.08598566418168099,0.07606538287734041
28,41.55844457889886,152,0.6333333333333333,0.007533216867761068,-0.026932458731330933,0.15114563039243464,-0.14615065802651597,0.31408765432027075,0.08386188146821874,0.07645435510260114
29,40.41629212052332,152,0.6333333333333333,0.007675877208966899,-0.04347548666143997,0.14133886987419236,-0.1779391392134817,0.3071151531501575,0.08170798637928674,0.07660112795088457
30,39.338652137128655,148,0.6166666666666667,0.007832210297269515,-0.06020434716623203,0.12909160520448265,-0.20654102597384794,0.29973920559376604,0.07944617238333737,0.07651906992839423
31,38.468416828366585,146,0.6083333333333333,0.007945635689179519,-0.07650508958750883,0.11373237300639699,-0.22950311517953,0.29261360780271395,0.07732610495628138,0.07624316021126644
32,37.68008873589774,144,0.6,0.008075385191347019,-0.09376777912930759,0.09498353117567404,-0.24843897621926916,0.2869991664171026,0.07562561474613087,0.07583167234545853
33,37.08257302270111,141,0.5875,0.008189510610440789,-0.11205762191159313,0.07408129009454739,-0.2640661873595107,0.2822349332319173,0.07409780386175933,0.07531352174889351
34,36.83611100111566,142,0.5916666666666667,0.00821841013716364,-0.12966621966010888,0.049975263851565116,-0.2745915021099961,0.27874500545145103,0.07295894329355726,0.0747351520157606
35,36.91505639737868,142,0.5916666666666667,0.008180785138750065,-0.14417879286805613,0.024697218779443884,-0.2810440186665468,0.27774941274081705,0.07251466139897692,0.07416840762689375
36,37.15867048426672,142,0.5916666666666667,0.008161845805291858,-0.15725642647584887,0.0008616368283373088,-0.2847131397422069,0.27922001059362944,0.07271600007406971,0.07367313993871288
37,37.57227360112498,141,0.5875,0.008150777517454195,-0.16813706786957658,-0.020503932427388093,-0.2850667522595345,0.28192505564761444,0.07324530524150961,0.07327307666064158
