brain,gain,checkpoint,mode,cue,P_peak_activity,P_cumulative_activity,P_final_activity,trial_similarity,experience_similarity,P_peak_gain_vs_local,P_cumulative_gain_vs_local
1,0.5,200,field,P,0.6835210721806163,6.564085254733302,0.0,1.0000000000000002,0.0,0.05349107940253428,-5.643557772771904
1,0.75,200,field,A,0.0,0.0,0.0,1.0,0.6344610038928709,-0.4796892005976717,-8.81138520412868
1,0.75,200,field,F,0.0,0.0,0.0,0.9999999999999998,0.7909968739294023,-0.4812064573296679,-8.052555610148598
1,0.75,200,field,P,0.692555619108149,40.073864607255786,0.32066453555256924,0.9999999999999998,0.0,0.06252562633006697,27.86622157975058
1,1.0,200,field,A,0.0,0.0,0.0,1.0000000000000002,0.6351747088258646,-0.4796892005976717,-8.81138520412868
1,1.0,200,field,F,0.0,0.0,0.0,0.9999999999999998,0.7932957210110285,-0.4812064573296679,-8.052555610148598
1,1.0,200,field,P,0.6975921200344904,41.083348795540594,0.3272486375587226,0.9999999999999998,0.0,0.06756212725640842,28.875705768035388
1,0.0,300,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0.0,300,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0.0,300,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,0.0,300,local,A,0.0190233527538247,0.21145218092946597,0.0,1.0,0.5613202066313194,0.0,0.0
1,0.0,300,local,F,0.0,0.0,0.0,0.9999999999999998,0.35936744564699286,0.0,0.0
1,0.0,300,local,P,0.6474554554512778,5.156479440750669,0.0,1.0,0.0,0.0,0.0
1,0.25,300,field,A,0.0,0.0,0.0,1.0,0.5865859168820625,-0.0190233527538247,-0.21145218092946597
1,0.25,300,field,F,0.0,0.0,0.0,1.0,0.6919925494073231,0.0,0.0
1,0.25,300,field,P,0.6769109181540067,5.410266240902048,0.0,0.9999999999999998,0.0,0.02945546270272892,0.2537868001513788
1,0.5,300,field,A,0.0,0.0,0.0,1.0000000000000002,0.5967348114514938,-0.0190233527538247,-0.21145218092946597
1,0.5,300,field,F,0.0,0.0,0.0,1.0000000000000002,0.7328409172024847,0.0,0.0
1,0.5,300,field,P,0.6894784921951493,38.3856441593853,0.31205133317801914,1.0,0.0,0.042023036743871534,33.229164718634635
1,0.75,300,field,A,0.0,0.0,0.0,1.0,0.6138779294132366,-0.0190233527538247,-0.21145218092946597
1,0.75,300,field,F,0.0,0.0,0.0,1.0000000000000002,0.7750594193683662,0.0,0.0
1,0.75,300,field,P,0.6973294465277553,23.299737602667467,0.32725609648720566,1.0,0.0,0.0498739910764775,18.143258161916798
1,1.0,300,field,A,0.0,0.0,0.0,1.0,0.6099498722001079,-0.0190233527538247,-0.21145218092946597
1,1.0,300,field,F,0.0,0.0,0.0,1.0,0.777179454314552,0.0,0.0
1,1.0,300,field,P,0.703826754922814,28.22155085628925,0.3333248675906148,1.0000000000000002,0.0,0.056371299471536185,23.065071415538583
1,0.0,400,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0.0,400,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0.0,400,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,0.0,400,local,A,0.0,0.0,0.0,0.9999999999999998,0.5708437777279592,0.0,0.0
1,0.0,400,local,F,0.0,0.0,0.0,1.0,0.2538574587163104,0.0,0.0
1,0.0,400,local,P,0.6563237063889977,5.056622146130672,0.0,1.0,0.0,0.0,0.0
1,0.25,400,field,A,0.0,0.0,0.0,1.0000000000000002,0.5519993993332998,0.0,0.0
1,0.25,400,field,F,0.0,0.0,0.0,1.0,0.6807575863969298,0.0,0.0
1,0.25,400,field,P,0.6789279455028077,5.429162373799243,0.0,1.0000000000000002,0.0,0.022604239113809932,0.372540227668571
1,0.5,400,field,A,0.0,0.0,0.0,1.0,0.5870578207926526,0.0,0.0
1,0.5,400,field,F,0.0,0.0,0.0,1.0000000000000002,0.7279854839220492,0.0,0.0
1,0.5,400,field,P,0.6919902431752273,38.66424932978527,0.31432206892612297,1.0,0.0,0.03566653678622955,33.6076271836546
1,0.75,400,field,A,0.0,0.0,0.0,1.0000000000000002,0.5988811672824783,0.0,0.0
1,0.75,400,field,F,0.0,0.0,0.0,1.0,0.7488467272801262,0.0,0.0
1,0.75,400,field,P,0.705918968778,20.878891005161012,0.32925669169476646,0.9999999999999998,0.0,0.04959526238900225,15.822268859030341
1,1.0,400,field,A,0.0,0.0,0.0,1.0,0.5922756486784971,0.0,0.0
1,1.0,400,field,F,0.0,0.0,0.0,1.0000000000000002,0.7480985000718071,0.0,0.0
1,1.0,400,field,P,0.7128372467129146,22.35521105693206,0.33655671134615733,1.0,0.0,0.05651354032391687,17.29858891080139
1,0.0,500,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,0.0,500,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,0.0,500,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,0.0,500,local,A,0.0,0.0,0.0,1.0,0.483646450544754,0.0,0.0
1,0.0,500,local,F,0.0,0.0,0.0,1.0000000000000002,0.5571030778931312,0.0,0.0
1,0.0,500,local,P,0.6623646805709982,5.022687197592337,0.0,1.0000000000000002,0.0,0.0,0.0
1,0.25,500,field,A,0.0,0.0,0.0,1.0,0.5018849598054329,0.0,0.0
1,0.25,500,field,F,0.0,0.0,0.0,1.0,0.6648943768849697,0.0,0.0
1,0.25,500,field,P,0.6798522287074551,5.544802911749445,0.0,1.0,0.0,0.01748754813645692,0.522115714157108
1,0.5,500,field,A,0.0,0.0,0.0,0.9999999999999998,0.5779643950758399,0.0,0.0
1,0.5,500,field,F,0.0,0.0,0.0,0.9999999999999998,0.7027120582123692,0.0,0.0
1,0.5,500,field,P,0.6953488105850275,25.170394209248975,0.31911317154431135,1.0,0.0,0.032984130014029334,20.14770701165664
1,0.75,500,field,A,0.0,0.0,0.0,1.0,0.5792348555184264,0.0,0.0
1,0.75,500,field,F,0.0,0.0,0.0,1.0,0.7340385538684223,0.0,0.0
1,0.75,500,field,P,0.7070232682024666,20.387314301348297,0.3314282193293616,1.0,0.0,0.04465858763146846,15.36462710375596
1,1.0,500,field,A,0.0,0.0,0.0,1.0,0.5652983200490225,0.0,0.0
1,1.0,500,field,F,0.0,0.0,0.0,1.0000000000000002,0.7335417261299797,0.0,0.0
1,1.0,500,field,P,0.7142724335475974,22.86778950765333,0.33871363911038765,1.0,0.0,0.05190775297659922,17.845102310060994
