brain,checkpoint,mode,cue,P_peak_activity,P_cumulative_activity,P_final_activity,trial_similarity,experience_similarity,P_peak_gain_vs_local,P_cumulative_gain_vs_local
1,300,local,P,0.6474554554512778,5.156479440750669,0.0,1.0,0.0,0.0,0.0
1,300,field,A,0.6330584925074441,13.828590347732398,0.4421688818318984,1.0,0.9759449571753112,0.6140351397536193,13.617138166802931
1,300,field,F,0.650052030190673,13.769988083928094,0.442328703690481,1.0000000000000002,0.9845735276892357,0.650052030190673,13.769988083928094
1,300,field,P,0.8225160261979283,28.356900698832412,0.44026959709572344,1.0,0.0,0.1750605707466505,23.200421258081743
1,400,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,400,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,400,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,400,local,A,0.0,0.0,0.0,0.9999999999999998,0.5708437777279592,0.0,0.0
1,400,local,F,0.0,0.0,0.0,1.0,0.2538574587163104,0.0,0.0
1,400,local,P,0.6563237063889977,5.056622146130672,0.0,1.0,0.0,0.0,0.0
1,400,field,A,0.0,0.0,0.0,1.0,0.8824262990421097,0.0,0.0
1,400,field,F,0.0,0.0,0.0,1.0000000000000002,0.9249723365079462,0.0,0.0
1,400,field,P,0.827278026697471,30.253577072076524,0.44151943146726635,1.0000000000000002,0.0,0.17095432030847324,25.196954925945853
1,500,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0
1,500,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0
1,500,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0
1,500,local,A,0.0,0.0,0.0,1.0,0.483646450544754,0.0,0.0
1,500,local,F,0.0,0.0,0.0,1.0000000000000002,0.5571030778931312,0.0,0.0
1,500,local,P,0.6623646805709982,5.022687197592337,0.0,1.0000000000000002,0.0,0.0,0.0
1,500,field,A,0.0,0.0,0.0,1.0000000000000002,0.8731132915260771,0.0,0.0
1,500,field,F,0.0,0.0,0.0,1.0,0.9110051986185146,0.0,0.0
1,500,field,P,0.8283855377904367,31.26742314307263,0.44282314820641966,0.9999999999999998,0.0,0.1660208572194385,26.244735945480294
