brain,checkpoint,mode,cue,mean_lifetime,mean_total_activity,A_peak_activity,A_cumulative_activity,A_peak_step,A_final_activity,F_peak_activity,F_cumulative_activity,F_peak_step,F_final_activity,P_peak_activity,P_cumulative_activity,P_peak_step,P_final_activity,Q_peak_activity,Q_cumulative_activity,Q_peak_step,Q_final_activity,R_peak_activity,R_cumulative_activity,R_peak_step,R_final_activity,trial_similarity,A_peak_selectivity,A_cumulative_selectivity,A_final_selectivity,similarity_to_A_experience,similarity_to_F_experience,experience_preference,context_selectivity,context_pattern_separation
1,0,shared,P_weak_F,120.0,44.509338224459256,0.4093878093341717,21.297760566584245,27.0,0.09769506816758784,0.5036062492565976,19.073274009536796,9.0,0.28308302745426656,0.529358952154185,16.246779724067352,5.0,0.37215574027302945,0.4760899425396376,18.561027986629234,10.0,0.30885741105008685,0.4188374897435376,17.19286845038868,119.0,0.41582578611786536,1.0,-0.0942184399224259,2.224486557047449,-0.18538795928667873,0.0,0.0,0.0,0.15438973546620982,0.68403366419619
1,0,shared,A,120.0,30.26441068156754,0.5269649720747348,12.894400004652647,6.0,0.24272646671941586,0.4054539899242591,13.789942351949772,25.0,0.06751702771474415,0.41679144437282967,13.560983292503916,93.0,0.0,0.4033512934076143,13.223833828661189,25.0,0.20388342424581243,0.4363819720236043,14.468026008478486,94.0,0.0,1.0,0.12151098215047573,-0.8955423472971251,0.17520943900467173,0.0,0.0,0.0,0.15438973546620982,0.68403366419619
1,0,shared,F,120.0,29.80479040336694,0.4094459203400784,14.799543180171332,102.0,0.026776114333911895,0.5238161960411456,11.486486339707591,5.0,0.3473697626324526,0.40104352249740005,17.363795912246285,120.0,0.40104352249740005,0.4939282140271527,11.62326624973166,7.0,0.34172527925205093,0.43206090704859645,13.857754628149484,12.0,0.08564869082561427,1.0,-0.11437027570106723,3.313056840463741,-0.3205936482985407,0.0,0.0,0.0,0.15438973546620982,0.68403366419619
1,100,untrained,P,120.0,15.586024379617362,0.412399806938581,13.927179264935784,25.0,0.0,0.37647766137393934,14.64522596324195,40.0,0.0,0.5306626417824976,12.639694028336965,5.0,0.31738523665502616,0.3935729483716024,14.280287753777657,36.0,0.0,0.403789379917897,15.274650166408147,39.0,0.0,0.9999999999999998,0.03592214556464168,-0.718046698306166,0.0,0.0,0.0,0.0,0.0,0.0
1,100,untrained,P_weak_A,120.0,35.72749249931316,0.49363340921369947,14.816682005262816,10.0,0.3052803709438447,0.43346211366991555,21.086287054442412,102.0,0.0,0.5296662885671058,15.1752931253076,5.0,0.009042359380940798,0.42105246371878813,21.147553540708078,101.0,0.0,0.42947433372037735,18.98060918373879,40.0,0.056028565344697925,1.0,0.06017129554378392,-6.269605049179596,0.3052803709438447,0.0,0.0,0.0,0.0,0.0
1,100,untrained,P_weak_F,120.0,44.509338224459256,0.4093878093341717,21.297760566584245,27.0,0.09769506816758784,0.5036062492565976,19.073274009536796,9.0,0.28308302745426656,0.529358952154185,16.246779724067352,5.0,0.37215574027302945,0.4760899425396376,18.561027986629234,10.0,0.30885741105008685,0.4188374897435376,17.19286845038868,119.0,0.41582578611786536,1.0,-0.0942184399224259,2.224486557047449,-0.18538795928667873,0.0,0.0,0.0,0.0,0.0
1,100,untrained,A,120.0,30.26441068156754,0.5269649720747348,12.894400004652647,6.0,0.24272646671941586,0.4054539899242591,13.789942351949772,25.0,0.06751702771474415,0.41679144437282967,13.560983292503916,93.0,0.0,0.4033512934076143,13.223833828661189,25.0,0.20388342424581243,0.4363819720236043,14.468026008478486,94.0,0.0,1.0,0.12151098215047573,-0.8955423472971251,0.17520943900467173,0.0,0.0,0.0,0.0,0.0
1,100,untrained,F,120.0,29.80479040336694,0.4094459203400784,14.799543180171332,102.0,0.026776114333911895,0.5238161960411456,11.486486339707591,5.0,0.3473697626324526,0.40104352249740005,17.363795912246285,120.0,0.40104352249740005,0.4939282140271527,11.62326624973166,7.0,0.34172527925205093,0.43206090704859645,13.857754628149484,12.0,0.08564869082561427,1.0,-0.11437027570106723,3.313056840463741,-0.3205936482985407,0.0,0.0,0.0,0.0,0.0
1,100,disconnected,P,120.0,39.63532628217973,0.43615945827178126,20.131438873050968,28.0,0.39368375455551746,0.452876201979154,17.199063690142548,54.0,0.0,0.5282483225566961,19.238479152534616,5.0,0.10167697461047207,0.4486448714062579,18.868853974086043,52.0,0.0,0.44604881313977396,16.520945434071315,53.0,0.012282452583974451,1.0,-0.01671674370737275,2.9323751829084195,0.39368375455551746,0.0,0.0,0.0,0.0,0.0
1,100,disconnected,P_weak_A,120.0,20.640632647498858,0.544354869010686,23.573094217710178,9.0,0.12884410236127106,0.45490858605751006,16.8494597685962,39.0,0.0,0.5265283649019259,19.515032002991116,5.0,0.1656812522393123,0.44476586298529613,16.67623475841448,39.0,0.0,0.4343896210019966,15.358136307823267,48.0,0.0,1.0,0.08944628295317592,6.723634449113977,0.12884410236127106,0.0,0.0,0.0,0.0,0.0
1,100,disconnected,P_weak_F,120.0,47.98382525415778,0.4286297833436203,21.027425065611503,117.0,0.4040757289128184,0.5496912352590438,15.370469662722062,7.0,0.03909554690755352,0.5257870627105504,20.655866927932642,5.0,0.0592075901816508,0.5443572103863021,14.921585520267897,8.0,0.0011858368124633724,0.49296013345209067,15.337871427151342,12.0,0.2191545156389306,1.0000000000000002,-0.12106145191542356,5.656955402889441,0.3649801820052649,0.0,0.0,0.0,0.0,0.0
1,100,disconnected,A,120.0,21.13715806789648,0.5606247803099402,23.113657535887732,5.0,0.07886104174297202,0.45202895723559006,16.804967205926104,34.0,0.0,0.41312006318187267,19.303013658549233,23.0,0.23736011367559828,0.4592614787185957,16.309840786938203,79.0,0.0,0.4638803695584518,15.745253317748531,41.0,0.0,1.0000000000000002,0.10859582307435017,6.308690329961628,0.07886104174297202,0.0,0.0,0.0,0.0,0.0
1,100,disconnected,F,120.0,48.32091948494897,0.4362413641471945,22.37629541364757,112.0,0.26368975894576535,0.5878605767950359,16.51556962054162,4.0,0.16937486296455992,0.3837715860430696,15.697394107922472,33.0,0.315852759384219,0.5721202600677586,15.58036522492639,5.0,0.06342354491602333,0.5084637059589212,16.8336507383584,9.0,0.30153059180894165,1.0000000000000002,-0.1516192126478414,5.860725793105949,0.09431489598120543,0.0,0.0,0.0,0.0,0.0
1,100,shared,P,120.0,50.953925283014,0.4681961947505221,20.813591820677168,19.0,0.36143886933474656,0.4673821908301818,14.297267496115822,37.0,0.361437520552563,0.6112236402744329,14.32703014812014,4.0,0.16713352487253053,0.4567983616506194,17.575880446642987,35.0,0.42419948614939357,0.4388466545698956,14.825559687118442,37.0,0.28614852094534216,0.9999999999999998,0.0008140039203403115,6.516324324561346,1.3487821835522773e-06,0.7111794655446312,0.683130551615897,0.02804891392873421,0.09542726125536377,0.25110289401955344
1,100,shared,P_weak_A,120.0,43.264413251663115,0.5057868109399856,26.771632836259393,8.0,0.4130619037805815,0.46825313407199837,22.014573852449562,31.0,0.4402848837316167,0.610563758391375,13.910095896835935,4.0,0.0,0.4704107038386399,21.836363848222536,31.0,0.4167760302269173,0.4877243929881988,19.914767896277272,36.0,0.10921250137570666,0.9999999999999998,0.0375336768679872,4.757058983809831,-0.02722297995103523,0.348067849313341,0.4243690469211645,-0.0763011976078235,0.09542726125536377,0.25110289401955344
