brain,checkpoint,mode,cue,P_peak_activity,P_cumulative_activity,P_final_activity,trial_similarity,experience_similarity,experience_strength_sum,experience_strength_mean,P_peak_gain_vs_local,P_cumulative_gain_vs_local
1,100,field,F,0.5742169405887884,29.617552792587524,0.3692121726701136,1.0,0.8337194118955895,280.958974513425,1.1706623938059375,0.034549660754325084,-0.02621492859003638
1,100,field,P,0.685634937337321,43.99809898459839,0.3480160335573802,0.9999999999999998,0.0,0.0,0.0,0.033525094127047295,18.37007184077369
1,200,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,200,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0,0.0,0.0
1,200,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0,0.0,0.0
1,200,local,A,0.5404372366642249,30.5456658263064,0.30884192621372086,1.0000000000000002,0.5109599237593426,0.0,0.0,0.0,0.0
1,200,local,F,0.539339329062914,23.89802430424778,0.34358134210043667,1.0000000000000002,0.5865978573890861,0.0,0.0,0.0,0.0
1,200,local,P,0.6553947968120154,7.686044598584755,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,200,field,A,0.0,0.0,0.0,1.0,0.6232888756730098,279.4688759534356,1.1644536498059816,-0.5404372366642249,-30.5456658263064
1,200,field,F,0.0,0.0,0.0,1.0,0.6859080702758285,326.244216944262,1.359350903934425,-0.539339329062914,-23.89802430424778
1,200,field,P,0.6983742584900714,43.26422011666884,0.3508610484667272,1.0000000000000002,0.0,0.0,0.0,0.042979461678056,35.57817551808408
1,300,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,300,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0,0.0,0.0
1,300,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0,0.0,0.0
1,300,local,A,0.0,0.0,0.0,1.0,0.25170762192173235,0.0,0.0,0.0,0.0
1,300,local,F,0.0,0.0,0.0,0.9999999999999998,0.46331513683089326,0.0,0.0,0.0,0.0
1,300,local,P,0.6615915298451549,19.411095346246462,0.33529785305383575,1.0,0.0,0.0,0.0,0.0,0.0
1,300,field,A,0.0,0.0,0.0,1.0,0.5911429644528338,290.9889104451793,1.2124537935215802,0.0,0.0
1,300,field,F,0.0,0.0,0.0,0.9999999999999998,0.6777251532560141,348.08589855008034,1.4503579106253348,0.0,0.0
1,300,field,P,0.7046643537266246,44.578207659215245,0.36252116376016175,1.0,0.0,0.0,0.0,0.04307282388146971,25.167112312968783
1,400,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,400,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0,0.0,0.0
1,400,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0,0.0,0.0
1,400,local,A,0.0,0.0,0.0,1.0,0.28395624188728025,0.0,0.0,0.0,0.0
1,400,local,F,0.0,0.0,0.0,1.0000000000000002,0.41038434588076683,0.0,0.0,0.0,0.0
1,400,local,P,0.6675297633110511,6.313222164866982,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,400,field,A,0.0,0.0,0.0,1.0,0.5807343664226914,299.5336311912911,1.2480567966303795,0.0,0.0
1,400,field,F,0.0,0.0,0.0,1.0,0.6701047300779138,361.25108429694393,1.5052128512372664,0.0,0.0
1,400,field,P,0.7122232762291087,44.78417154541098,0.3582432143947965,1.0,0.0,0.0,0.0,0.044693512918057676,38.470949380544
1,500,untrained,A,0.41679144437282967,13.560983292503916,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,500,untrained,F,0.40104352249740005,17.36379591224628,0.40104352249740005,1.0,0.0,0.0,0.0,0.0,0.0
1,500,untrained,P,0.5306626417824976,12.639694028336965,0.31738523665502616,0.9999999999999998,0.0,0.0,0.0,0.0,0.0
1,500,local,A,0.0,0.0,0.0,0.9999999999999998,0.2793466412368404,0.0,0.0,0.0,0.0
1,500,local,F,0.0,0.0,0.0,0.9999999999999998,0.3900327988157244,0.0,0.0,0.0,0.0
1,500,local,P,0.6707285862163019,6.219092457298967,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0
1,500,field,A,0.0,0.0,0.0,1.0,0.2776918980958623,305.3513044088181,1.2722971017034088,0.0,0.0
1,500,field,F,0.0,0.0,0.0,0.9999999999999998,0.39798461253779316,371.3502957759632,1.5472928990665133,0.0,0.0
1,500,field,P,0.71163637271837,44.692554819022156,0.35467754076577296,0.9999999999999998,0.0,0.0,0.0,0.040907786502068055,38.473462361723186
