brain,repetition,cue,experience_strength_sum,experience_strength_mean
1,148,A,268.12065250409427,1.1171693854337261
1,149,A,269.03961028031074,1.1209983761679614
1,149,F,307.1758338393835,1.2798993076640979
1,150,F,308.44894498454516,1.2852039374356048
1,150,A,268.6502069502154,1.1193758622925642
1,151,A,269.5638792400184,1.1231828301667435
1,151,F,308.0427837924141,1.283511599135059
1,152,F,309.3126978358066,1.2888029076491943
1,152,A,269.16477785564666,1.1215199077318612
1,153,A,270.0748748490783,1.1253119785378263
1,153,F,308.8981567116675,1.2870756529652814
1,154,F,310.16342068539564,1.2923475861891485
1,154,A,269.6752400157267,1.1236468333988612
1,155,A,270.58154560363937,1.1274231066818308
1,155,F,309.7434491042685,1.2905977046011188
1,156,F,311.00833588717694,1.2958680661965707
1,156,A,270.18153149329476,1.1257563812220615
1,157,A,271.08296104412346,1.1295123376838478
1,157,F,310.5770949746909,1.2940712290612122
1,158,F,311.84124343791893,1.2993385143246623
1,158,A,270.67952008177485,1.127831333674062
1,159,A,271.5750422931952,1.1315626762216469
1,159,F,311.3966540004438,1.2974860583351824
1,160,F,312.65230556977735,1.3027179398740723
1,160,A,271.1735632971576,1.12988984707149
1,161,A,272.06072506120273,1.133586354421678
1,161,F,312.1946374217837,1.300810989257432
1,162,F,313.4431931899775,1.3060133049582394
1,162,A,271.6572715478968,1.1319052981162367
1,163,A,272.5397771735934,1.1355824048899725
1,163,F,312.97615819624673,1.3040673258176947
1,164,F,314.2157754958805,1.3092323978995022
1,164,A,272.1316765493527,1.1338819856223028
1,165,A,273.01110908398323,1.13754628784993
1,165,F,313.73460328340343,1.3072275136808476
1,166,F,314.9693424184905,1.3123722600770438
1,166,A,272.59719681292523,1.1358216533871885
1,167,A,273.46997686693123,1.1394582369455468
1,167,F,314.4734491526357,1.310306038135982
1,168,F,315.70558001013995,1.3154399167089166
1,168,A,273.04501330200696,1.137687555425029
1,169,A,273.9150865357312,1.1413128605655465
1,169,F,315.20102465345707,1.3133376027227377
1,170,F,316.43852845675997,1.3184938685698333
1,170,A,273.48514183454074,1.1395214243105865
1,171,A,274.3526982968988,1.1431362429037448
1,171,F,315.926940523526,1.3163622521813585
1,172,F,317.1622183581002,1.3215092431587507
1,172,A,273.915876424125,1.1413161517671875
1,173,A,274.79301297031833,1.1449708873763265
1,173,F,316.6455988485389,1.319356661868912
1,174,F,317.8787556400213,1.3244948151667555
1,174,A,274.35251691890807,1.1431354871621169
1,175,A,275.2337332176919,1.1468072217403829
1,175,F,317.3586286922731,1.322327619551138
1,176,F,318.5833298526979,1.327430541052908
1,176,A,274.78994803653046,1.144958116818877
1,177,A,275.67074621713033,1.148628109238043
1,177,F,318.0610633856918,1.3252544307737157
1,178,F,319.2778974859151,1.3303245728579796
1,178,A,275.2229215748495,1.1467621732285396
1,179,A,276.10621214800943,1.150442550616706
1,179,F,318.7482003608999,1.3281175015037496
1,180,F,319.9563681560709,1.3331515339836286
1,180,A,275.65135816578305,1.1485473256907628
1,181,A,276.5338903374854,1.1522245430728557
1,181,F,319.4248519807038,1.3309368832529325
1,182,F,320.62884343835873,1.3359535143264947
1,182,A,276.0695969472124,1.1502899872800516
1,183,A,276.9487096233951,1.1539529567641462
1,183,F,320.0917496474549,1.333715623531062
1,184,F,321.3026033613188,1.3387608473388284
1,184,A,276.48363137770747,1.1520151307404478
